Questions,start_t,end_t,rangeX,TimeStamp,Neutrality,Happy,Surprise,Fear,Disgust,Anger,Sadness,Positive_Sentiment,Negative_Sentiment,Experience,Activation,Emotional_Score,Subemotion
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.112,00:00:07.026,0.505,0.28,0.089,0.01,0.025,0.051,0.04,0.369,0.126,0.243,0.495,0.745,Alegria
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.112,00:00:07.060,0.509,0.224,0.101,0.011,0.034,0.075,0.046,0.326,0.165,0.161,0.491,0.664,Alegria
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.112,00:00:07.093,0.46,0.269,0.101,0.01,0.033,0.086,0.042,0.37,0.17,0.2,0.54,0.685,Presuncion
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.112,00:00:07.127,0.404,0.384,0.072,0.007,0.024,0.075,0.035,0.456,0.141,0.315,0.596,0.764,Alegria
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.112,00:00:07.161,0.368,0.453,0.045,0.005,0.022,0.073,0.033,0.499,0.133,0.365,0.632,0.789,Optimismo
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.112,00:00:07.194,0.33,0.487,0.04,0.004,0.026,0.077,0.036,0.527,0.143,0.384,0.67,0.786,Extasis
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.112,00:00:07.228,0.269,0.577,0.036,0.004,0.024,0.057,0.034,0.613,0.118,0.495,0.731,0.839,Extasis
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.112,00:00:07.262,0.188,0.721,0.026,0.002,0.014,0.027,0.022,0.747,0.066,0.681,0.812,0.919,Extasis
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.112,00:00:07.295,0.103,0.855,0.015,0.001,0.006,0.009,0.01,0.87,0.027,0.843,0.897,0.97,Dignidad
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.112,00:00:07.329,0.051,0.91,0.011,0.002,0.005,0.016,0.006,0.921,0.028,0.893,0.949,0.97,Extasis
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.112,00:00:07.362,0.044,0.855,0.021,0.005,0.011,0.053,0.012,0.875,0.081,0.795,0.956,0.916,Optimismo
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.112,00:00:07.396,0.053,0.789,0.033,0.008,0.018,0.082,0.018,0.822,0.125,0.697,0.947,0.868,Deleite
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.112,00:00:07.430,0.053,0.796,0.042,0.008,0.017,0.068,0.016,0.838,0.109,0.728,0.947,0.884,Deleite
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.112,00:00:07.463,0.057,0.786,0.066,0.01,0.016,0.052,0.013,0.852,0.091,0.761,0.943,0.903,Deleite
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.112,00:00:07.497,0.075,0.701,0.113,0.015,0.019,0.065,0.013,0.814,0.112,0.702,0.925,0.879,Extasis
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.112,00:00:07.531,0.09,0.643,0.146,0.018,0.019,0.071,0.014,0.789,0.122,0.667,0.91,0.866,Extasis
