Question,start_t,end_t,rangeX,TimeStamp,Neutrality,Happy,Surprise,Fear,Disgust,Anger,Sadness,Positive_Sentiment,Negative_Sentiment,Experience,Activation,Emotional_Score,Subemotion
Q1: Are you comfortable having your responses recorded on video and by text? ,0.14,0.17,0.144,00:09.1,0.765,0.169,0.006,0.001,0.006,0.024,0.029,0.175,0.06,0.115,0.235,0.744,Agrado
Q1: Are you comfortable having your responses recorded on video and by text? ,0.14,0.17,0.144,00:09.1,0.823,0.106,0.005,0.001,0.005,0.026,0.034,0.111,0.066,0.045,0.177,0.627,Agrado
Q1: Are you comfortable having your responses recorded on video and by text? ,0.14,0.17,0.144,00:09.2,0.826,0.099,0.006,0.002,0.005,0.026,0.036,0.105,0.069,0.036,0.174,0.603,
Q1: Are you comfortable having your responses recorded on video and by text? ,0.14,0.17,0.144,00:09.2,0.797,0.122,0.009,0.003,0.005,0.026,0.039,0.131,0.072,0.059,0.203,0.645,Agrado
Q1: Are you comfortable having your responses recorded on video and by text? ,0.14,0.17,0.144,00:09.3,0.785,0.128,0.011,0.003,0.006,0.025,0.042,0.139,0.076,0.063,0.215,0.646,
Q1: Are you comfortable having your responses recorded on video and by text? ,0.14,0.17,0.144,00:09.4,0.796,0.121,0.008,0.003,0.007,0.023,0.043,0.129,0.076,0.053,0.204,0.63,Disfrute
Q1: Are you comfortable having your responses recorded on video and by text? ,0.14,0.17,0.144,00:09.5,0.803,0.115,0.005,0.002,0.01,0.021,0.044,0.121,0.076,0.045,0.197,0.615,
Q1: Are you comfortable having your responses recorded on video and by text? ,0.14,0.17,0.144,00:09.5,0.794,0.12,0.004,0.002,0.011,0.019,0.049,0.125,0.081,0.044,0.206,0.606,Agrado
Q1: Are you comfortable having your responses recorded on video and by text? ,0.14,0.17,0.144,00:09.6,0.78,0.129,0.004,0.002,0.011,0.019,0.056,0.133,0.087,0.046,0.22,0.605,Regocijo
Q1: Are you comfortable having your responses recorded on video and by text? ,0.14,0.17,0.144,00:09.6,0.763,0.148,0.004,0.002,0.009,0.017,0.057,0.151,0.085,0.066,0.237,0.639,Agrado
Q1: Are you comfortable having your responses recorded on video and by text? ,0.14,0.17,0.144,00:09.7,0.717,0.209,0.004,0.002,0.007,0.013,0.048,0.213,0.07,0.143,0.283,0.752,Regocijo
Q1: Are you comfortable having your responses recorded on video and by text? ,0.14,0.17,0.144,00:09.8,0.665,0.28,0.005,0.002,0.005,0.01,0.033,0.285,0.05,0.235,0.335,0.85,Regocijo
Q1: Are you comfortable having your responses recorded on video and by text? ,0.14,0.17,0.144,00:09.9,0.639,0.318,0.005,0.002,0.004,0.008,0.024,0.323,0.038,0.285,0.361,0.896,Alegria
Q1: Are you comfortable having your responses recorded on video and by text? ,0.14,0.17,0.144,00:09.9,0.581,0.385,0.004,0.001,0.003,0.007,0.018,0.389,0.03,0.359,0.419,0.928,Extasis
Q1: Are you comfortable having your responses recorded on video and by text? ,0.14,0.17,0.144,00:10.0,0.45,0.526,0.003,0.001,0.003,0.005,0.012,0.529,0.021,0.508,0.55,0.962,Alegria
Q1: Are you comfortable having your responses recorded on video and by text? ,0.14,0.17,0.16,00:10.0,0.3,0.686,0.002,0,0.002,0.003,0.007,0.688,0.012,0.676,0.7,0.983,Alegria
Q1: Are you comfortable having your responses recorded on video and by text? ,0.14,0.17,0.16,00:10.1,0.223,0.767,0.001,0,0.001,0.002,0.005,0.769,0.009,0.76,0.777,0.989,Optimismo
Q1: Are you comfortable having your responses recorded on video and by text? ,0.14,0.17,0.16,00:10.2,0.245,0.741,0.002,0,0.002,0.002,0.008,0.743,0.012,0.731,0.755,0.984,Regocijo
Q1: Are you comfortable having your responses recorded on video and by text? ,0.14,0.17,0.16,00:10.3,0.294,0.683,0.003,0.001,0.002,0.004,0.013,0.687,0.019,0.667,0.706,0.973,Regocijo
Q1: Are you comfortable having your responses recorded on video and by text? ,0.14,0.17,0.16,00:10.3,0.351,0.61,0.006,0.001,0.004,0.007,0.02,0.616,0.033,0.583,0.649,0.949,Agrado
Q1: Are you comfortable having your responses recorded on video and by text? ,0.14,0.17,0.16,00:10.4,0.466,0.48,0.008,0.002,0.005,0.011,0.028,0.488,0.047,0.441,0.534,0.913,
Q1: Are you comfortable having your responses recorded on video and by text? ,0.14,0.17,0.16,00:10.4,0.614,0.325,0.009,0.003,0.007,0.012,0.031,0.334,0.052,0.282,0.386,0.865,
Q1: Are you comfortable having your responses recorded on video and by text? ,0.14,0.17,0.16,00:10.5,0.743,0.189,0.009,0.003,0.008,0.013,0.034,0.199,0.058,0.141,0.257,0.773,
Q1: Are you comfortable having your responses recorded on video and by text? ,0.14,0.17,0.16,00:10.6,0.825,0.096,0.01,0.003,0.008,0.018,0.038,0.107,0.068,0.039,0.175,0.611,
Q1: Are you comfortable having your responses recorded on video and by text? ,0.14,0.17,0.16,00:10.7,0.857,0.061,0.011,0.003,0.009,0.025,0.035,0.072,0.071,0.001,0.143,0.502,Regocijo
Q1: Are you comfortable having your responses recorded on video and by text? ,0.14,0.17,0.16,00:10.7,0.839,0.075,0.011,0.002,0.009,0.031,0.032,0.087,0.074,0.012,0.161,0.538,Regocijo
Q1: Are you comfortable having your responses recorded on video and by text? ,0.14,0.17,0.16,00:10.8,0.758,0.145,0.013,0.003,0.01,0.036,0.036,0.158,0.084,0.074,0.242,0.653,Disfrute
Q1: Are you comfortable having your responses recorded on video and by text? ,0.14,0.17,0.16,00:10.8,0.653,0.244,0.016,0.003,0.009,0.034,0.04,0.261,0.087,0.174,0.347,0.751,Regocijo
Q1: Are you comfortable having your responses recorded on video and by text? ,0.14,0.17,0.16,00:10.9,0.611,0.297,0.017,0.003,0.007,0.027,0.037,0.314,0.074,0.24,0.389,0.809,Regocijo
Q1: Are you comfortable having your responses recorded on video and by text? ,0.14,0.17,0.16,00:11.0,0.624,0.308,0.016,0.003,0.005,0.019,0.027,0.323,0.053,0.27,0.376,0.859,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.22,0.24,0.224,00:14.0,0.942,0.019,0.006,0.001,0.004,0.011,0.016,0.025,0.032,-0.007,0.058,0.441,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.22,0.24,0.224,00:14.1,0.939,0.023,0.005,0.001,0.004,0.012,0.016,0.029,0.033,-0.004,0.061,0.466,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.22,0.24,0.224,00:14.2,0.925,0.038,0.005,0.001,0.004,0.012,0.015,0.043,0.032,0.011,0.075,0.573,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.22,0.24,0.224,00:14.2,0.905,0.057,0.006,0.001,0.004,0.012,0.015,0.063,0.032,0.032,0.095,0.667,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.22,0.24,0.224,00:14.3,0.888,0.069,0.01,0.001,0.004,0.014,0.014,0.079,0.033,0.045,0.112,0.702,Agrado
