Question,start_t,end_t,rangeX,TimeStamp,Neutrality,Happy,Surprise,Fear,Disgust,Anger,Sadness,Positive_Sentiment,Negative_Sentiment,Experience,Activation,Emotional_Score,Subemotion
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.112,00:00:07.026,0.893,0.085,0.006,0.001,0.003,0.009,0.004,0.091,0.016,0.074,0.107,0.846,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.112,00:00:07.060,0.922,0.061,0.004,0.001,0.002,0.007,0.003,0.065,0.013,0.052,0.078,0.833,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.112,00:00:07.094,0.942,0.044,0.003,0.001,0.002,0.006,0.002,0.047,0.012,0.035,0.058,0.802,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.112,00:00:07.127,0.951,0.033,0.004,0.001,0.003,0.007,0.002,0.036,0.012,0.024,0.049,0.743,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.112,00:00:07.161,0.943,0.038,0.005,0.001,0.003,0.008,0.002,0.043,0.014,0.029,0.057,0.75,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.112,00:00:07.194,0.919,0.057,0.009,0.002,0.003,0.009,0.003,0.065,0.016,0.049,0.081,0.802,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.112,00:00:07.228,0.914,0.058,0.011,0.002,0.003,0.008,0.003,0.069,0.017,0.052,0.086,0.805,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.112,00:00:07.262,0.938,0.037,0.01,0.002,0.002,0.007,0.003,0.047,0.015,0.032,0.062,0.76,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.112,00:00:07.295,0.964,0.017,0.007,0.001,0.002,0.005,0.003,0.024,0.011,0.013,0.036,0.687,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.112,00:00:07.329,0.975,0.01,0.005,0.001,0.002,0.004,0.003,0.016,0.01,0.006,0.025,0.619,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.112,00:00:07.362,0.965,0.011,0.009,0.002,0.003,0.005,0.005,0.021,0.015,0.006,0.035,0.585,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.112,00:00:07.396,0.94,0.015,0.022,0.006,0.003,0.007,0.007,0.037,0.024,0.013,0.06,0.609,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.112,00:00:07.430,0.931,0.015,0.029,0.008,0.003,0.006,0.007,0.044,0.025,0.019,0.069,0.642,
